['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'jeetiss', 3, 25915, 19, '2018-07-22', '2018-08-26']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'jariz', 3, 263, 111, '2017-07-16', '2017-12-24']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ambar', 3, 13, 10, '2018-07-01', '2019-04-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'Bram-Zijp', 3, 24, 11, '2018-08-19', '2018-08-26']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'xouabita', 4, 25, 2, '2017-08-27', '2017-10-01']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'kkalavantavanich', 4, 87, 80, '2019-04-14', '2019-07-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'kireerik', 4, 18, 4, '2018-01-07', '2018-12-09']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'gregmartyn', 4, 29, 17, '2018-06-17', '2018-10-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'glennreyes', 4, 331, 11, '2017-10-22', '2018-01-21']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'NickCis', 4, 44153, 2738, '2017-09-24', '2018-05-27']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'crosscompile', 5, 1939, 203, '2018-07-01', '2018-10-21']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'rowellx68', 17, 202, 164, '2016-02-28', '2016-06-26']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'greenkeeperio-bot', 22, 23, 23, '2016-06-05', '2016-12-04']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'jaredpalmer', 293, 138348, 229503, '2016-02-07', '2019-04-14']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'xouabita', 1, 4, 20, '2017-02-12', '2017-02-12']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'tobiaslins', 1, 45, 25, '2017-10-01', '2017-10-01']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'sompylasar', 1, 2, 2, '2017-02-12', '2017-02-12']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'shrynx', 1, 1, 1, '2017-10-22', '2017-10-22']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'pradel', 1, 1, 1, '2017-03-19', '2017-03-19']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'pi0', 1, 3, 5, '2017-07-23', '2017-07-23']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'nkohari', 1, 1, 1, '2019-06-16', '2019-06-16']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'mattleff', 1, 0, 6, '2018-10-28', '2018-10-28']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'ljukas', 1, 3226, 1983, '2019-06-16', '2019-06-16']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'leonardosnt', 1, 1, 1, '2017-01-15', '2017-01-15']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'ganapativs', 1, 1, 1, '2018-10-28', '2018-10-28']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'fengzilong', 1, 1, 1, '2017-01-08', '2017-01-08']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'evenfrost', 1, 1, 1, '2017-01-15', '2017-01-15']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'despairblue', 1, 5, 2, '2017-03-26', '2017-03-26']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'cyruseftos', 1, 20, 12, '2018-08-26', '2018-08-26']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'biigpongsatorn', 1, 1, 1, '2017-10-29', '2017-10-29']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'andres-valdes', 1, 14, 67, '2018-11-25', '2018-11-25']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'amonks', 1, 1, 1, '2017-01-15', '2017-01-15']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'RobertYoung', 1, 119, 0, '2017-02-05', '2017-02-05']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'Nayni', 1, 14, 12, '2019-05-26', '2019-05-26']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'J12934', 1, 2, 2, '2018-09-02', '2018-09-02']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'rockysantiago', 2, 1207, 1036, '2019-04-21', '2019-10-13']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'ericclemmons', 3, 12, 2, '2017-02-05', '2017-02-12']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'JacopKane', 5, 10775, 13835, '2018-01-14', '2018-03-04']
['backpack', 'jaredpalmer', 4244, 'JavaScript', 25, 'jaredpalmer', 72, 14872, 3882, '2017-01-01', '2019-06-16']
